timestamp,fps,ear_left,ear_right,ear_average,mar,perclos,yaw,pitch,roll,gaze_direction,driver_state
1788114200.083,0,0.462,0.227,0.344,0.003,0.000,-0.1,164.2,-4.2,UNKNOWN,UNKNOWN
1788114200.131,21,0.443,0.217,0.330,0.015,0.000,-5.7,179.9,-177.1,UNKNOWN,UNKNOWN
1788114200.153,46,0.456,0.223,0.340,0.006,0.000,0.0,169.3,0.6,UNKNOWN,UNKNOWN
1788114200.188,27,0.459,0.241,0.350,0.012,0.000,75.9,146.3,168.9,UNKNOWN,UNKNOWN
1788114200.211,46,0.450,0.245,0.348,0.013,0.000,15.6,175.9,179.6,UNKNOWN,UNKNOWN
1788114200.240,32,0.459,0.229,0.344,0.010,0.000,-6.0,179.4,-176.7,UNKNOWN,UNKNOWN
1788114200.264,42,0.440,0.243,0.342,0.010,0.000,-7.8,179.0,175.4,UNKNOWN,UNKNOWN
1788114200.287,42,0.441,0.241,0.341,0.017,0.000,38.6,163.3,-173.1,UNKNOWN,UNKNOWN
1788114200.306,53,0.440,0.246,0.343,0.010,0.000,37.1,162.8,-173.1,UNKNOWN,UNKNOWN
1788114200.327,46,0.447,0.245,0.346,0.010,0.000,5.7,178.2,-176.9,UNKNOWN,UNKNOWN
1788114200.358,33,0.439,0.245,0.342,0.010,0.000,31.7,163.3,-160.2,UNKNOWN,UNKNOWN
1788114200.390,32,0.449,0.244,0.347,0.011,0.000,-21.6,87.3,121.8,UNKNOWN,UNKNOWN
1788114200.427,28,0.440,0.240,0.340,0.011,0.000,37.6,163.1,-172.8,UNKNOWN,UNKNOWN
1788114200.458,32,0.437,0.240,0.339,0.012,0.000,9.9,162.4,-179.6,UNKNOWN,UNKNOWN
1788114200.486,34,0.454,0.238,0.346,0.010,0.000,14.1,176.0,-175.3,UNKNOWN,UNKNOWN
1788114200.518,28,0.454,0.250,0.352,0.013,0.000,-5.8,178.4,0.3,UNKNOWN,UNKNOWN
1788114200.554,28,0.417,0.243,0.330,0.013,0.000,-19.0,178.1,-156.4,UNKNOWN,UNKNOWN
1788114200.586,32,0.421,0.246,0.334,0.010,0.000,37.5,162.8,-173.1,UNKNOWN,UNKNOWN
1788114200.616,32,0.437,0.228,0.333,0.009,0.000,36.5,163.4,-173.4,UNKNOWN,UNKNOWN
1788114200.646,34,0.442,0.239,0.340,0.005,0.000,2.2,151.9,165.5,UNKNOWN,UNKNOWN
1788114200.680,28,0.433,0.240,0.337,0.010,0.000,36.6,163.7,-173.4,UNKNOWN,UNKNOWN
