timestamp,fps,ear_left,ear_right,ear_average,mar,perclos,yaw,pitch,roll,gaze_direction,driver_state
1788115064.294,0,0.236,0.247,0.241,0.007,0.000,16.4,158.3,-1.7,UNKNOWN,UNKNOWN
1788115064.314,49,0.216,0.246,0.231,0.005,0.000,16.7,155.7,-1.6,UNKNOWN,UNKNOWN
1788115064.332,57,0.219,0.262,0.241,0.008,0.000,16.9,156.3,-2.2,UNKNOWN,UNKNOWN
1788115064.350,55,0.227,0.254,0.240,0.007,0.000,16.3,156.0,-2.0,UNKNOWN,UNKNOWN
1788115064.368,53,0.224,0.251,0.238,0.007,0.000,16.3,156.0,-2.0,UNKNOWN,UNKNOWN
1788115064.390,45,0.233,0.257,0.245,0.007,0.000,17.2,155.7,-1.7,UNKNOWN,UNKNOWN
1788115064.426,27,0.233,0.265,0.249,0.008,0.000,17.0,156.4,-2.1,UNKNOWN,UNKNOWN
1788115064.458,32,0.233,0.260,0.247,0.004,0.000,15.8,157.3,-1.9,UNKNOWN,UNKNOWN
1788115064.489,32,0.247,0.243,0.245,0.003,0.000,15.4,157.9,-2.2,UNKNOWN,UNKNOWN
1788115064.520,30,0.244,0.240,0.242,0.004,0.000,15.5,158.1,-2.1,UNKNOWN,UNKNOWN
1788115064.568,20,0.245,0.242,0.243,0.003,0.000,15.0,159.1,-2.4,UNKNOWN,UNKNOWN
1788115064.602,30,0.242,0.236,0.239,0.004,0.000,14.9,159.0,-2.5,UNKNOWN,UNKNOWN
1788115064.633,31,0.249,0.240,0.245,0.004,0.000,14.8,159.0,-2.4,UNKNOWN,UNKNOWN
1788115064.664,32,0.248,0.245,0.246,0.003,0.000,13.8,157.4,-2.5,UNKNOWN,UNKNOWN
1788115064.696,32,0.240,0.240,0.240,0.004,0.000,14.2,157.4,-2.5,UNKNOWN,UNKNOWN
1788115064.729,29,0.239,0.250,0.244,0.003,0.000,13.9,156.8,-2.3,UNKNOWN,UNKNOWN
1788115064.759,34,0.264,0.246,0.255,0.006,0.000,14.4,157.2,-2.4,UNKNOWN,UNKNOWN
1788115064.794,27,0.253,0.244,0.249,0.006,0.000,13.7,157.4,-2.3,UNKNOWN,UNKNOWN
1788115064.824,33,0.248,0.244,0.246,0.005,0.000,13.8,157.5,-2.2,UNKNOWN,UNKNOWN
1788115064.855,32,0.241,0.242,0.242,0.005,0.000,14.4,157.5,-2.1,UNKNOWN,UNKNOWN
1788115064.887,31,0.240,0.234,0.237,0.006,0.000,14.2,156.6,-2.1,UNKNOWN,UNKNOWN
1788115064.935,20,0.252,0.248,0.250,0.005,0.000,14.4,157.4,-2.2,UNKNOWN,UNKNOWN
1788115064.968,31,0.243,0.245,0.244,0.006,0.000,13.8,157.0,-2.2,UNKNOWN,UNKNOWN
1788115065.001,30,0.246,0.249,0.248,0.007,0.000,13.8,156.7,-2.4,UNKNOWN,UNKNOWN
1788115065.033,31,0.226,0.242,0.234,0.006,0.000,12.9,156.2,-2.0,UNKNOWN,UNKNOWN
1788115065.064,30,0.236,0.232,0.234,0.006,0.000,12.5,157.2,-1.8,UNKNOWN,UNKNOWN
1788115065.095,35,0.240,0.232,0.236,0.006,0.000,12.5,158.0,-2.0,UNKNOWN,UNKNOWN
1788115065.129,28,0.234,0.236,0.235,0.005,0.000,11.7,157.2,-1.9,UNKNOWN,UNKNOWN
1788115065.160,31,0.236,0.235,0.235,0.006,0.000,11.4,157.5,-1.8,UNKNOWN,UNKNOWN
1788115065.191,31,0.236,0.237,0.236,0.007,0.000,11.8,157.0,-2.0,UNKNOWN,UNKNOWN
1788115065.225,28,0.231,0.238,0.235,0.006,0.000,11.8,157.7,-2.1,UNKNOWN,UNKNOWN
1788115065.255,34,0.227,0.235,0.231,0.005,0.000,11.6,157.7,-2.0,UNKNOWN,UNKNOWN
1788115065.305,19,0.232,0.248,0.240,0.005,0.000,11.2,158.8,-2.3,UNKNOWN,UNKNOWN
1788115065.335,33,0.233,0.246,0.239,0.004,0.000,11.3,157.6,-2.3,UNKNOWN,UNKNOWN
1788115065.368,30,0.231,0.239,0.235,0.005,0.000,10.9,157.6,-2.3,UNKNOWN,UNKNOWN
1788115065.396,32,0.220,0.245,0.232,0.004,0.000,11.0,157.8,-2.3,UNKNOWN,UNKNOWN
1788115065.431,31,0.220,0.239,0.229,0.006,0.000,12.0,157.7,-2.5,UNKNOWN,UNKNOWN
1788115065.462,31,0.215,0.254,0.234,0.002,0.000,10.3,158.1,-2.6,UNKNOWN,UNKNOWN
1788115065.495,29,0.185,0.219,0.202,0.004,0.000,12.0,158.2,-2.7,UNKNOWN,UNKNOWN
1788115065.528,31,0.134,0.149,0.142,0.004,0.000,12.6,159.2,-3.3,UNKNOWN,UNKNOWN
1788115065.559,31,0.091,0.082,0.086,0.003,0.000,13.1,157.3,-3.1,UNKNOWN,UNKNOWN
1788115065.591,31,0.107,0.148,0.127,0.003,0.000,13.2,157.8,-3.2,UNKNOWN,UNKNOWN
1788115065.622,31,0.138,0.187,0.163,0.004,0.000,12.5,158.8,-3.2,UNKNOWN,UNKNOWN
1788115065.672,19,0.173,0.199,0.186,0.004,0.000,12.8,158.6,-3.1,UNKNOWN,UNKNOWN
1788115065.702,33,0.185,0.225,0.205,0.003,0.000,13.0,158.7,-3.1,UNKNOWN,UNKNOWN
1788115065.735,29,0.195,0.223,0.209,0.004,0.000,12.6,158.9,-3.3,UNKNOWN,UNKNOWN
1788115065.768,30,0.197,0.235,0.216,0.005,0.000,13.0,159.2,-3.1,UNKNOWN,UNKNOWN
1788115065.800,32,0.199,0.240,0.219,0.007,0.000,12.9,158.7,-3.3,UNKNOWN,UNKNOWN
1788115065.832,31,0.203,0.235,0.219,0.004,0.000,12.1,158.8,-3.1,UNKNOWN,UNKNOWN
1788115065.863,30,0.213,0.241,0.227,0.003,0.000,11.6,158.7,-3.0,UNKNOWN,UNKNOWN
1788115065.896,30,0.213,0.248,0.231,0.005,0.000,11.0,157.6,-2.7,UNKNOWN,UNKNOWN
1788115065.928,31,0.214,0.248,0.231,0.004,0.000,11.0,157.7,-2.7,UNKNOWN,UNKNOWN
1788115065.959,31,0.212,0.238,0.225,0.004,0.000,11.3,157.9,-2.7,UNKNOWN,UNKNOWN
1788115065.990,32,0.214,0.246,0.230,0.004,0.000,10.7,157.1,-2.6,UNKNOWN,UNKNOWN
1788115066.040,20,0.212,0.245,0.229,0.004,0.000,11.0,156.9,-2.5,UNKNOWN,UNKNOWN
1788115066.071,32,0.202,0.237,0.219,0.005,0.000,11.6,158.2,-2.5,UNKNOWN,UNKNOWN
1788115066.103,31,0.209,0.228,0.218,0.005,0.000,11.0,159.7,-2.3,UNKNOWN,UNKNOWN
1788115066.135,31,0.206,0.234,0.220,0.004,0.000,10.5,160.1,-2.1,UNKNOWN,UNKNOWN
1788115066.167,31,0.199,0.222,0.211,0.004,0.000,10.3,161.1,-2.0,UNKNOWN,UNKNOWN
1788115066.198,30,0.197,0.231,0.214,0.005,0.000,9.7,160.5,-2.0,UNKNOWN,UNKNOWN
1788115066.233,30,0.196,0.226,0.211,0.005,0.000,10.4,161.0,-1.9,UNKNOWN,UNKNOWN
1788115066.264,30,0.191,0.220,0.205,0.007,0.000,10.9,159.7,-1.8,UNKNOWN,UNKNOWN
1788115066.295,32,0.197,0.237,0.217,0.005,0.000,10.7,161.6,-1.9,UNKNOWN,UNKNOWN
1788115066.327,31,0.196,0.233,0.215,0.005,0.000,10.7,160.5,-1.9,UNKNOWN,UNKNOWN
1788115066.359,31,0.213,0.241,0.227,0.004,0.000,10.2,160.4,-1.8,UNKNOWN,UNKNOWN
1788115066.408,20,0.210,0.246,0.228,0.003,0.000,9.7,160.6,-1.9,UNKNOWN,UNKNOWN
1788115066.439,31,0.219,0.249,0.234,0.004,0.000,9.5,160.1,-2.2,UNKNOWN,UNKNOWN
1788115066.472,30,0.214,0.249,0.231,0.003,0.000,9.6,159.9,-2.2,UNKNOWN,UNKNOWN
1788115066.505,30,0.219,0.248,0.233,0.004,0.000,9.6,159.9,-2.5,UNKNOWN,UNKNOWN
1788115066.536,32,0.219,0.249,0.234,0.005,0.000,9.7,159.0,-2.6,UNKNOWN,UNKNOWN
1788115066.567,30,0.218,0.246,0.232,0.007,0.000,10.3,158.4,-2.5,UNKNOWN,UNKNOWN
1788115066.598,33,0.214,0.239,0.226,0.007,0.000,10.5,159.1,-2.6,UNKNOWN,UNKNOWN
1788115066.632,28,0.214,0.235,0.225,0.006,0.000,10.6,158.2,-2.4,UNKNOWN,UNKNOWN
1788115066.664,31,0.216,0.228,0.222,0.006,0.000,10.3,158.0,-2.3,UNKNOWN,UNKNOWN
1788115066.695,31,0.213,0.237,0.225,0.009,0.000,10.5,158.1,-2.1,UNKNOWN,UNKNOWN
1788115066.726,30,0.213,0.236,0.224,0.007,0.000,9.8,157.7,-2.2,UNKNOWN,UNKNOWN
1788115066.776,20,0.212,0.234,0.223,0.007,0.000,9.7,158.3,-2.0,UNKNOWN,UNKNOWN
1788115066.809,30,0.199,0.229,0.214,0.007,0.000,9.9,157.8,-2.1,UNKNOWN,UNKNOWN
1788115066.840,31,0.211,0.230,0.221,0.007,0.000,9.6,157.5,-2.3,UNKNOWN,UNKNOWN
1788115066.872,32,0.214,0.235,0.224,0.007,0.000,9.4,157.9,-2.3,UNKNOWN,UNKNOWN
1788115066.904,29,0.215,0.239,0.227,0.004,0.000,9.0,157.9,-2.2,UNKNOWN,UNKNOWN
1788115066.935,33,0.211,0.222,0.217,0.007,0.000,9.6,157.4,-2.2,UNKNOWN,UNKNOWN
1788115066.968,30,0.203,0.230,0.217,0.006,0.000,9.9,157.7,-2.5,UNKNOWN,UNKNOWN
1788115066.998,32,0.214,0.221,0.218,0.005,0.000,9.9,158.6,-2.5,UNKNOWN,UNKNOWN
1788115067.017,55,0.204,0.226,0.215,0.007,0.000,10.6,158.9,-2.4,UNKNOWN,UNKNOWN
1788115067.065,21,0.189,0.220,0.205,0.005,0.000,10.2,158.5,-3.0,UNKNOWN,UNKNOWN
1788115067.095,32,0.200,0.204,0.202,0.004,0.000,10.1,159.7,-3.4,UNKNOWN,UNKNOWN
1788115067.144,20,0.195,0.203,0.199,0.004,0.000,10.0,159.0,-3.4,UNKNOWN,UNKNOWN
1788115067.176,32,0.196,0.201,0.199,0.003,0.000,10.0,159.7,-3.1,UNKNOWN,UNKNOWN
1788115067.209,29,0.207,0.221,0.214,0.001,0.000,9.2,159.8,-2.7,UNKNOWN,UNKNOWN
1788115067.240,33,0.199,0.216,0.207,0.001,0.000,8.2,157.7,-1.8,UNKNOWN,UNKNOWN
1788115067.271,31,0.205,0.213,0.209,0.003,0.000,8.0,156.5,-1.0,UNKNOWN,UNKNOWN
1788115067.303,31,0.204,0.225,0.215,0.009,0.000,2.6,164.1,0.7,UNKNOWN,UNKNOWN
1788115067.335,31,0.155,0.207,0.181,0.011,0.000,-0.1,156.8,0.7,UNKNOWN,UNKNOWN
1788115067.355,50,0.165,0.204,0.184,0.012,0.000,-12.2,154.7,-179.1,UNKNOWN,UNKNOWN
1788115067.373,56,0.147,0.093,0.120,0.012,0.000,2.6,149.7,3.0,UNKNOWN,UNKNOWN
1788115067.400,36,0.273,0.178,0.225,0.007,0.000,1.6,159.8,4.0,UNKNOWN,UNKNOWN
1788115067.464,15,0.220,0.124,0.172,0.016,0.000,-29.9,159.3,-173.2,UNKNOWN,UNKNOWN
1788115067.510,21,0.077,0.087,0.082,0.005,0.000,11.1,163.6,8.7,UNKNOWN,UNKNOWN
1788115067.542,31,0.218,0.174,0.196,0.005,0.040,21.0,167.5,8.3,UNKNOWN,ALERT
1788115067.576,29,0.114,0.142,0.128,0.003,0.050,13.9,151.1,4.8,UNKNOWN,ALERT
1788115067.610,30,0.148,0.170,0.159,0.007,0.049,11.8,162.6,2.8,UNKNOWN,ALERT
1788115067.639,32,0.137,0.156,0.146,0.007,0.049,9.2,157.0,5.8,UNKNOWN,ALERT
1788115067.672,31,0.189,0.206,0.197,0.002,0.048,-9.3,159.1,-173.5,UNKNOWN,ALERT
1788115067.704,30,0.193,0.224,0.208,0.002,0.048,5.6,159.2,7.7,UNKNOWN,ALERT
1788115067.723,55,0.198,0.222,0.210,0.002,0.047,5.2,159.0,7.6,UNKNOWN,ALERT
1788115067.741,56,0.196,0.247,0.221,0.002,0.047,5.1,160.5,7.4,UNKNOWN,ALERT
1788115067.767,38,0.198,0.242,0.220,0.002,0.046,2.9,159.7,6.8,UNKNOWN,ALERT
1788115067.801,29,0.204,0.244,0.224,0.001,0.046,3.1,158.3,6.7,UNKNOWN,ALERT
1788115067.881,12,0.214,0.241,0.228,0.001,0.045,3.9,157.9,7.5,UNKNOWN,ALERT
1788115067.910,34,0.217,0.257,0.237,0.000,0.045,3.9,157.1,7.4,UNKNOWN,ALERT
1788115067.944,29,0.222,0.250,0.236,0.001,0.045,4.2,160.2,7.5,UNKNOWN,ALERT
